Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,46.110001,46.380001,45.529999,46.025002,44.559563,2494600
2018-11-12,45.689999,48.044998,44.334999,47.669998,46.152176,7805600
2018-11-19,47.695000,48.500000,47.380001,48.169998,46.636261,4925000
2018-11-26,48.595001,51.250000,48.384998,50.709999,49.095387,7718600
2018-12-03,50.735001,51.005001,49.365002,50.230000,48.630669,7904600
2018-12-10,48.965000,50.509998,47.029999,50.220001,48.620987,11732400
2018-12-17,50.595001,52.250000,50.139999,50.200001,48.601627,9609600
2018-12-24,50.090000,52.005001,49.825001,51.570000,49.928005,4557400
2018-12-31,51.794998,51.974998,50.794998,51.790001,50.140999,3989200
2019-01-07,51.540001,52.049999,51.005001,51.320000,49.685966,6208600
2019-01-14,50.930000,51.709999,50.404999,51.674999,50.029663,5816000
2019-01-21,51.299999,51.599998,49.505001,49.570000,47.991688,8188600
2019-01-28,49.505001,49.660000,47.250000,49.529999,47.952957,9116400
2019-02-04,49.485001,50.525002,48.974998,50.145000,48.548378,5008200
2019-02-11,50.535000,51.049999,49.494999,50.090000,48.495129,6813400
2019-02-18,49.619999,50.325001,49.029999,50.119999,48.524170,5846600
2019-02-25,50.270000,51.209999,49.549999,50.220001,48.620987,6387600
2019-03-04,50.025002,52.064999,49.775002,51.990002,50.334633,7087400
2019-03-11,52.340000,56.279999,52.340000,55.990002,54.207272,8424400
2019-03-18,56.365002,57.419998,56.119999,56.160000,54.371857,6138400
2019-03-25,56.459999,57.955002,55.945000,57.955002,56.109711,6524800
2019-04-01,58.080002,58.125000,56.869999,57.139999,55.320652,5331200
2019-04-08,56.700001,57.220001,55.900002,56.715000,54.909187,5994600
2019-04-15,56.865002,58.055000,56.700001,57.959999,56.114544,3939400
2019-04-22,56.950001,58.115002,56.514999,57.595001,55.761169,7049600
2019-04-29,57.544998,60.320000,56.985001,59.945000,58.036343,6371600
2019-05-06,59.049999,59.355000,57.125000,58.560001,56.695438,5824800
2019-05-13,57.724998,59.154999,57.160000,58.450001,56.588943,6590400
2019-05-20,60.264999,62.275002,59.500000,61.360001,59.406292,11004200
2019-05-27,61.369999,62.360001,61.215000,62.080002,60.103363,4753200
2019-06-03,62.500000,64.595001,62.259998,64.375000,62.325291,7588600
2019-06-10,64.500000,65.195000,63.500000,64.150002,62.107460,6929000
2019-06-17,64.019997,64.385002,62.785000,63.404999,61.386173,5658800
2019-06-24,63.450001,65.044998,63.365002,65.019997,63.272072,6337000
2019-07-01,65.425003,65.889999,64.595001,64.894997,63.150436,3913200
2019-07-08,63.825001,64.135002,62.025002,62.974998,61.282055,7825400
2019-07-15,63.215000,63.674999,60.950001,61.680000,60.021866,5887800
2019-07-22,60.544998,60.744999,57.099998,57.580002,56.032085,12783800
2019-07-29,57.605000,58.105000,56.770000,56.910000,55.380100,7709000
2019-08-05,55.555000,57.285000,54.564999,56.435001,55.023186,10310200
2019-08-12,56.195000,56.685001,54.419998,55.250000,53.867825,6495400
2019-08-19,55.154999,55.375000,52.645000,53.070000,51.742359,11601600
2019-08-26,54.525002,54.590000,53.099998,53.900002,52.551598,10967000
2019-09-02,53.320000,53.459999,51.470001,52.154999,50.850250,12619200
2019-09-09,52.174999,53.160000,51.615002,52.485001,51.171997,10602000
2019-09-16,52.035000,56.490002,51.025002,56.090000,54.686810,11237400
2019-09-23,58.500000,59.750000,56.715000,58.250000,56.792774,18707800
2019-09-30,57.810001,58.000000,54.660000,55.220001,53.838577,9968000
2019-10-07,54.930000,57.189999,54.849998,56.040001,54.638062,8756500
2019-10-14,55.840000,58.230000,55.360001,57.070000,55.642296,6797300
2019-10-21,57.270000,60.380001,57.130001,60.099998,58.596493,8829800
2019-10-28,60.490002,61.770000,60.049999,61.570000,60.029716,8221700
2019-11-04,61.570000,63.009998,60.860001,61.810001,60.263714,6348900
2019-11-11,61.910000,62.480000,61.070000,61.959999,60.409962,4786100
2019-11-18,61.799999,62.099998,61.119999,61.610001,60.068722,5825500
2019-11-25,62.000000,63.470001,61.340000,61.750000,60.205215,4551800
2019-12-02,61.820000,62.599998,61.209999,62.389999,60.829205,5776000
2019-12-09,62.299999,64.000000,61.950001,63.450001,61.862690,5889400
2019-12-16,63.200001,65.379997,62.529999,64.400002,62.788921,6426000
2019-12-23,64.410004,64.489998,62.930000,63.110001,61.531193,2906200
2019-12-30,63.520000,64.190002,61.959999,62.009998,60.458710,4101900
2020-01-06,61.000000,62.810001,60.369999,61.900002,60.351463,7973900
2020-01-13,62.750000,63.230000,61.349998,61.740002,60.195469,6578000
2020-01-20,60.950001,60.950001,58.650002,59.230000,57.748257,7987400
2020-01-27,58.320000,58.540001,56.939999,57.279999,55.847042,8875800
2020-02-03,57.209999,59.790001,57.070000,58.759998,57.290016,7255400
2020-02-10,58.650002,60.330002,58.450001,58.740002,57.270519,4766400
