Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,23.233334,23.838667,23.015333,23.367332,23.367332,182842500
2018-11-12,23.224667,23.713333,22.022667,23.620667,23.620667,438934500
2018-11-19,23.756001,24.450001,21.703333,21.722000,21.722000,399045000
2018-11-26,21.666668,23.440001,21.666668,23.365334,23.365334,407817000
2018-12-03,24.000000,25.299334,23.384001,23.864668,23.864668,541831500
2018-12-10,24.000000,25.191334,23.541332,24.380667,24.380667,474792000
2018-12-17,24.133333,24.379999,20.791332,21.318001,21.318001,602053500
2018-12-24,20.900000,22.416000,19.606001,22.257999,22.257999,483556500
2018-12-31,22.519333,22.614000,19.825333,21.179333,21.179333,484803000
2019-01-07,21.448000,23.227333,21.183332,23.150667,23.150667,466321500
2019-01-14,22.825333,23.466667,19.982000,20.150667,20.150667,657346500
2019-01-21,20.321333,20.533333,18.618668,19.802668,19.802668,597877500
2019-01-28,19.527332,21.073334,19.183332,20.813999,20.813999,632218500
2019-02-04,20.865334,21.615999,19.900000,20.386667,20.386667,472473000
2019-02-11,20.773333,21.240000,20.066668,20.525333,20.525333,403419000
2019-02-18,20.437332,20.769333,19.366667,19.647333,19.647333,389404500
2019-02-25,19.860666,21.333332,19.251333,19.652666,19.652666,897375000
2019-03-04,19.874666,19.933332,18.006666,18.942667,18.942667,966886500
2019-03-11,18.901333,19.692667,18.293333,18.362000,18.362000,654450000
2019-03-18,18.400000,18.536667,17.563999,17.635332,17.635332,655237500
2019-03-25,17.313999,18.688667,16.964001,18.657333,18.657333,586657500
2019-04-01,18.841333,19.744667,17.372667,18.330667,18.330667,874015500
2019-04-08,18.512667,18.743999,17.706667,17.846666,17.846666,599364000
2019-04-15,17.908667,18.333332,17.242001,18.217333,18.217333,424714500
2019-04-22,17.933332,17.978666,15.408667,15.676000,15.676000,1170429000
2019-04-29,15.724000,17.107332,15.433333,17.002001,17.002001,1181244000
2019-05-06,16.667999,17.223333,15.734667,15.968000,15.968000,612921000
2019-05-13,15.467333,15.633333,13.928000,14.068667,14.068667,759798000
2019-05-20,13.520000,13.826667,12.414667,12.708667,12.708667,1468485000
2019-05-27,12.746667,13.000000,12.273333,12.344000,12.344000,609220500
